region,group,question,response
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada en mi comunidad
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas en mi comunidad
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes en mi comunidad
Andina,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado
Caribe,Mujeres,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes en mi comunidad
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas personalmente hablando
Andina,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,La salud mental es ignorada (segun mi experiencia)
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales personalmente hablando
Pacifico,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable personalmente hablando
Pacifico,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Faltan medicamentos esenciales en mi comunidad
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales
Andina,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Falta de confianza en las instituciones
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay atencion medica cerca
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,La economia informal domina en mi comunidad
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas personalmente hablando
Caribe,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado (segun mi experiencia)
Amazonas,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,La economia informal domina personalmente hablando
Amazonas,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Viviendas en mal estado
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades en mi comunidad
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades
Pacifico,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones
Amazonas,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay empleo local
Orinoquia,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades
Amazonas,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes (segun mi experiencia)
Andina,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades en mi comunidad
Amazonas,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades
Caribe,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia)
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,La economia informal domina
Amazonas,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Nadie responde a nuestras solicitudes (segun mi experiencia)
Andina,Mujeres,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes personalmente hablando
Pacifico,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,La economia informal domina en mi comunidad
Caribe,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales en mi comunidad
Orinoquia,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina
Amazonas,Jovenes,Como evalua la atencion en salud mental en su zona?,Nos sentimos abandonados (segun mi experiencia)
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos
Pacifico,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Nos sentimos abandonados
Caribe,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes en mi comunidad
Pacifico,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable
Caribe,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras personalmente hablando
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes (segun mi experiencia)
Orinoquia,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Viviendas en mal estado personalmente hablando
Amazonas,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay participacion comunitaria en mi comunidad
Caribe,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados
Andina,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina personalmente hablando
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Caribe,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria personalmente hablando
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado (segun mi experiencia)
Amazonas,Jovenes,Que necesidades prioritarias existen en su comunidad?,Falta de confianza en las instituciones personalmente hablando
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales personalmente hablando
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas en mi comunidad
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nadie responde a nuestras solicitudes en mi comunidad
Pacifico,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,La economia informal domina personalmente hablando
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay recoleccion de basuras personalmente hablando
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas (segun mi experiencia)
Andina,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Falta de confianza en las instituciones
Caribe,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Falta de confianza en las instituciones
Amazonas,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,La economia informal domina
Orinoquia,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Nadie responde a nuestras solicitudes personalmente hablando
Orinoquia,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado (segun mi experiencia)
Andina,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina
Andina,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado en mi comunidad
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades personalmente hablando
Pacifico,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado (segun mi experiencia)
Amazonas,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable en mi comunidad
Amazonas,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,La economia informal domina
Amazonas,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada (segun mi experiencia)
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales en mi comunidad
Caribe,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados
Caribe,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca
Andina,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados personalmente hablando
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,No hay recoleccion de basuras
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes en mi comunidad
Pacifico,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria en mi comunidad
Pacifico,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nadie responde a nuestras solicitudes
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,Viviendas en mal estado en mi comunidad
Caribe,Jovenes,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada en mi comunidad
Caribe,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nadie responde a nuestras solicitudes personalmente hablando
Amazonas,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales personalmente hablando
Orinoquia,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones
Orinoquia,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable en mi comunidad
Caribe,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca personalmente hablando
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay empleo local en mi comunidad
Andina,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,La economia informal domina en mi comunidad
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,La economia informal domina personalmente hablando
Andina,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,La economia informal domina
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales personalmente hablando
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas
Andina,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales personalmente hablando
Amazonas,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay recoleccion de basuras en mi comunidad
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones en mi comunidad
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados personalmente hablando
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado personalmente hablando
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable (segun mi experiencia)
Amazonas,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay empleo local personalmente hablando
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria en mi comunidad
Pacifico,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria (segun mi experiencia)
Amazonas,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay empleo local
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades en mi comunidad
Amazonas,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable (segun mi experiencia)
Pacifico,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales en mi comunidad
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras
Orinoquia,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados en mi comunidad
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes personalmente hablando
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones (segun mi experiencia)
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales
Pacifico,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas en mi comunidad
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas personalmente hablando
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable
Orinoquia,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay empleo local personalmente hablando
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados
Caribe,Mujeres,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado
Caribe,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia)
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Nos sentimos abandonados personalmente hablando
Andina,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados (segun mi experiencia)
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos personalmente hablando
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada (segun mi experiencia)
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad
Caribe,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad
Andina,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras personalmente hablando
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes (segun mi experiencia)
Amazonas,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,No hay participacion comunitaria
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones
Amazonas,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Viviendas en mal estado
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas en mi comunidad
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado
Orinoquia,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,Nadie responde a nuestras solicitudes
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades en mi comunidad
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria en mi comunidad
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay empleo local
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable personalmente hablando
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas (segun mi experiencia)
Caribe,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes personalmente hablando
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados
Andina,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos personalmente hablando
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes en mi comunidad
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Pacifico,Personas Mayores,Como evalua la atencion en salud mental en su zona?,No hay recoleccion de basuras
Orinoquia,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable personalmente hablando
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados
Pacifico,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Falta de confianza en las instituciones
Pacifico,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca en mi comunidad
Pacifico,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable personalmente hablando
Orinoquia,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Nadie responde a nuestras solicitudes en mi comunidad
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay apoyo a emprendimientos
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay recoleccion de basuras personalmente hablando
Amazonas,Jovenes,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada personalmente hablando
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca
Orinoquia,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de acceso al agua potable (segun mi experiencia)
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria
Andina,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes personalmente hablando
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas
Andina,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades (segun mi experiencia)
Andina,Mujeres,Como evalua la atencion en salud mental en su zona?,Faltan medicamentos esenciales en mi comunidad
Orinoquia,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,La economia informal domina personalmente hablando
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada
Amazonas,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras (segun mi experiencia)
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay atencion medica cerca
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada en mi comunidad
Orinoquia,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay participacion comunitaria
Caribe,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado
Pacifico,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos
Amazonas,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes (segun mi experiencia)
Andina,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay empleo local personalmente hablando
Caribe,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,La economia informal domina
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,La economia informal domina
Amazonas,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado (segun mi experiencia)
Amazonas,Mujeres,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable personalmente hablando
Caribe,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Faltan medicamentos esenciales
Amazonas,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas (segun mi experiencia)
Caribe,Jovenes,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable
Amazonas,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos en mi comunidad
Orinoquia,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada personalmente hablando
Amazonas,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable
Andina,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,La economia informal domina personalmente hablando
Orinoquia,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,Nadie responde a nuestras solicitudes en mi comunidad
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones
Orinoquia,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria personalmente hablando
Orinoquia,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local (segun mi experiencia)
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia)
Caribe,Jovenes,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos en mi comunidad
Caribe,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras personalmente hablando
